Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-12-20T16:38:07.839Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-12-20T16:28:30.589Z","Included","auto","No","1794","6095","45045","593","53527","0.02"
"2025-12-20T16:22:08.544Z","Included","auto","No","6088","1485","46041","1001","54615","0.03"
"2025-12-20T14:55:47.531Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-12-20T14:54:46.292Z","Included","auto","No","1700","0","47872","509","50081","0.02"
"2025-12-20T14:53:41.964Z","Included","auto","No","2573","0","40960","826","44359","0.02"
"2025-12-20T14:52:45.599Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-12-20T14:52:39.246Z","Aborted, Not Charged","auto","No","0","0","0","0","0","0.00"
"2025-12-20T14:52:23.613Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-12-20T14:50:13.660Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-12-20T14:45:03.590Z","Included","auto","No","32379","0","52736","12634","97749","0.13"
"2025-12-15T15:04:09.168Z","Included","auto","No","75925","0","3522560","14354","3612839","1.06"
"2025-12-15T14:51:24.131Z","Included","auto","No","121627","0","1427712","25386","1574725","0.66"
"2025-12-15T14:41:31.927Z","Included","auto","No","13568","0","119552","1599","134719","0.06"
"2025-12-15T14:40:14.721Z","Included","auto","No","9428","0","164352","741","174521","0.06"
"2025-12-15T14:39:01.637Z","Included","auto","No","11304","0","180480","1508","193292","0.07"
"2025-12-15T14:36:52.702Z","Included","auto","No","6845","0","139264","1877","147986","0.05"
"2025-12-15T14:23:29.607Z","Included","auto","No","17396","0","86272","1786","105454","0.05"
"2025-12-15T12:34:12.514Z","Included","auto","No","34682","0","370944","15502","421128","0.23"
"2025-12-15T12:31:13.133Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-12-15T10:38:28.402Z","Included","auto","No","0","9497","10880","265","20642","0.02"
"2025-12-15T10:37:02.654Z","Included","auto","No","0","25123","44672","592","70387","0.05"
"2025-12-14T12:39:52.232Z","Included","auto","No","19183","802","96768","4110","120863","0.07"
"2025-12-11T15:42:21.268Z","Included","auto","No","13672","0","260608","3797","278077","0.11"
"2025-12-11T15:40:30.980Z","Included","auto","No","13948","0","230912","6531","251391","0.11"
"2025-12-11T15:39:40.611Z","Included","auto","No","45986","0","219392","1717","267095","0.12"
"2025-12-11T15:26:49.628Z","Included","auto","No","0","46345","582144","4550","633039","0.23"
"2025-12-11T15:09:53.282Z","Included","auto","No","61715","0","336640","1841","400196","0.17"
"2025-12-11T15:00:50.982Z","Included","auto","No","0","92519","919168","22936","1034623","0.48"
"2025-12-11T14:54:57.543Z","Included","auto","No","25721","0","431360","4149","461230","0.16"
"2025-12-11T14:53:29.194Z","Included","auto","No","13612","0","79360","1938","94910","0.05"
"2025-12-11T14:38:21.116Z","Included","auto","No","0","14738","63744","1011","79493","0.04"
"2025-12-11T14:33:01.970Z","Included","auto","No","0","59933","316288","8670","384891","0.21"
"2025-12-10T11:28:42.786Z","Included","auto","No","17511","0","109056","2830","129397","0.07"
"2025-12-10T10:53:55.403Z","Included","auto","No","0","11443","56192","2694","70329","0.04"
"2025-12-08T15:40:58.402Z","Included","auto","No","22265","0","1189888","9139","1221292","0.38"
"2025-12-08T15:38:20.756Z","Included","auto","No","12465","0","277760","5217","295442","0.12"
"2025-12-08T15:33:51.429Z","Included","auto","No","21438","0","767488","8285","797211","0.27"
"2025-12-08T15:31:12.760Z","Included","auto","No","5958","0","143104","3335","152397","0.06"
"2025-12-08T15:15:27.781Z","Included","auto","No","37237","0","109312","22090","168639","0.21"
"2025-12-08T15:08:39.779Z","Included","auto","No","24685","0","140544","10347","175576","0.13"
"2025-12-08T14:39:14.288Z","Included","auto","No","3660","0","238387","1528","243575","0.07"
"2025-12-08T14:36:46.125Z","Included","auto","No","69689","0","507317","6303","583309","0.25"
"2025-12-08T12:50:30.379Z","Included","auto","No","8713","0","284607","3689","297009","0.10"
"2025-12-08T12:47:02.564Z","Included","auto","No","1139","0","105663","173","106975","0.03"
"2025-12-08T12:44:53.334Z","Included","auto","No","10595","0","279879","3988","294462","0.11"
"2025-12-08T12:40:36.648Z","Included","auto","No","33255","0","332577","8078","373910","0.17"
"2025-12-05T15:42:44.631Z","Included","auto","No","21461","0","419584","10293","451338","0.19"
"2025-12-05T15:39:17.209Z","Included","auto","No","24045","0","523776","8118","555939","0.21"
"2025-12-05T15:38:49.287Z","Included","agent_review","No","56714","86","595025","5762","657587","0.16"
"2025-12-05T15:36:14.275Z","Included","auto","No","16125","0","167168","3890","187183","0.09"
"2025-12-05T15:29:55.933Z","Included","auto","No","30969","0","169472","4311","204752","0.11"
"2025-12-05T13:34:05.697Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-12-02T15:22:01.624Z","Included","auto","No","6920","396","107779","2422","117517","0.05"
"2025-12-02T15:17:57.912Z","Included","auto","No","5585","377","147222","1713","154897","0.05"
"2025-12-02T15:16:07.865Z","Included","auto","No","6506","404","135565","2065","144540","0.05"
"2025-12-02T15:12:52.303Z","Included","auto","No","20649","248","174271","1762","196930","0.08"
"2025-12-02T15:11:23.084Z","Included","auto","No","19071","11194","84955","3218","118438","0.08"
"2025-12-02T15:06:22.620Z","Included","auto","No","28190","2178","192493","10036","232897","0.15"
"2025-12-02T15:00:03.959Z","Included","auto","No","56656","5843","1312996","14959","1390454","0.50"
"2025-12-02T14:40:47.713Z","Included","auto","No","63538","254","239308","3087","306187","0.16"
"2025-12-02T14:32:19.666Z","Included","auto","No","56704","4813","634865","18486","714868","0.35"
"2025-12-02T14:27:37.929Z","Included","auto","No","22240","5574","180642","10852","219308","0.15"
"2025-11-30T15:53:16.992Z","Included","auto","No","4599","0","123136","2675","130410","0.05"
"2025-11-30T15:50:42.373Z","Included","auto","No","21887","0","109056","2803","133746","0.07"
"2025-11-30T15:43:48.666Z","Included","auto","No","9703","3520","71168","3078","87469","0.05"
"2025-11-30T15:40:20.477Z","Included","auto","No","19052","10669","512256","3426","545403","0.19"
"2025-11-30T15:35:25.592Z","Included","auto","No","41795","0","382464","8190","432449","0.20"
"2025-11-30T15:24:31.685Z","Included","auto","No","9264","0","105216","2172","116652","0.05"
"2025-11-30T15:23:14.513Z","Included","auto","No","434","0","102144","475","103053","0.03"
"2025-11-30T15:19:40.378Z","Included","auto","No","12276","0","232192","1962","246430","0.09"
"2025-11-30T15:11:29.304Z","Included","auto","No","34490","0","323072","4739","362301","0.15"
"2025-11-30T15:04:21.652Z","Included","auto","No","35024","0","177920","3486","216430","0.11"
"2025-11-30T14:57:51.607Z","Included","auto","No","16793","0","635648","6448","658889","0.22"
"2025-11-30T14:54:44.908Z","Included","auto","No","18713","0","555264","8687","582664","0.21"
"2025-11-30T14:47:38.700Z","Included","auto","No","30210","0","258304","5396","293910","0.13"
"2025-11-29T15:46:30.509Z","Included","auto","No","16690","0","400640","3790","421120","0.14"
"2025-11-29T15:44:06.038Z","Included","auto","No","20357","0","131584","3572","155513","0.08"
"2025-11-29T15:42:24.944Z","Included","auto","No","17115","0","179577","5074","201766","0.10"
"2025-11-29T15:39:29.271Z","Included","auto","No","12084","0","115968","2165","130217","0.06"
"2025-11-29T15:38:32.350Z","Included","auto","No","9369","4460","104704","2216","120749","0.06"
"2025-11-29T15:33:42.163Z","Included","auto","No","35562","0","336128","8231","379921","0.18"
"2025-11-29T15:28:33.709Z","Included","auto","No","4316","0","215384","1293","220993","0.07"
"2025-11-29T15:22:03.483Z","Included","auto","No","22178","0","363050","5806","391034","0.15"
"2025-11-29T15:16:52.457Z","Included","auto","No","11234","0","57600","1818","70652","0.04"
"2025-11-27T15:32:05.003Z","Included","auto","No","12410","0","516352","5096","533858","0.18"
"2025-11-27T15:27:03.985Z","Included","auto","No","1295","0","44032","0","45327","0.01"
"2025-11-27T15:24:49.227Z","Included","auto","No","10991","0","234752","4029","249772","0.10"
"2025-11-27T15:20:44.619Z","Included","auto","No","29553","0","301568","6474","337595","0.15"
"2025-11-27T15:10:55.198Z","Included","auto","No","15338","0","71680","1520","88538","0.05"
"2025-11-27T14:56:59.307Z","Included","auto","No","12847","0","58880","2242","73969","0.04"
"2025-11-27T14:50:43.635Z","Included","auto","No","5626","0","52736","1671","60033","0.03"
"2025-11-27T14:47:20.637Z","Included","auto","No","7429","0","58368","1353","67150","0.03"
"2025-11-27T14:47:01.091Z","Included","auto","No","737","0","7680","0","8417","0.003"
"2025-11-27T14:40:10.529Z","Included","auto","No","3512","0","36096","1459","41067","0.02"
"2025-11-27T14:36:10.438Z","Included","auto","No","21437","0","97024","3629","122090","0.07"
"2025-11-27T14:19:42.170Z","Included","auto","No","12867","0","58368","2016","73251","0.04"
"2025-11-27T14:12:03.506Z","Included","auto","No","12268","0","71168","2810","86246","0.05"
"2025-11-26T16:02:15.196Z","Included","auto","No","7721","0","439683","1833","449237","0.13"
"2025-11-26T16:00:48.370Z","Included","auto","No","9583","0","324613","2411","336607","0.11"
"2025-11-26T15:59:27.068Z","Included","auto","No","5522","0","218406","1347","225275","0.07"
"2025-11-26T15:57:50.733Z","Included","auto","No","6829","0","268937","2947","278713","0.09"
"2025-11-26T15:56:23.650Z","Included","auto","No","13379","0","233917","1860","249156","0.09"
"2025-11-26T15:53:46.544Z","Included","auto","No","10646","0","359131","5577","375354","0.14"
"2025-11-26T15:50:47.215Z","Included","auto","No","20512","0","238021","4344","262877","0.11"
"2025-11-26T15:48:56.784Z","Included","auto","No","14806","0","195758","4592","215156","0.09"
"2025-11-26T15:46:52.602Z","Included","auto","No","11239","0","116224","2184","129647","0.06"
"2025-11-26T15:43:53.051Z","Included","auto","No","12073","0","201409","5082","218564","0.10"
"2025-11-26T15:42:14.554Z","Included","auto","No","16531","0","151530","5144","173205","0.09"
"2025-11-26T15:35:35.165Z","Included","auto","No","5052","0","137472","2853","145377","0.06"
"2025-11-26T15:27:23.480Z","Included","auto","No","7897","0","148992","23736","180625","0.19"
"2025-11-26T15:20:06.294Z","Included","auto","No","7311","0","72960","21642","101913","0.16"
"2025-11-26T15:16:59.618Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-11-26T15:14:40.052Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-11-26T15:14:26.923Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-11-26T15:07:29.715Z","Included","auto","No","32484","0","821525","8324","862333","0.30"
"2025-11-26T15:03:35.597Z","Included","auto","No","33133","0","200601","5676","239410","0.13"
"2025-11-26T14:45:58.280Z","Included","auto","No","37392","0","495360","28134","560886","0.34"
"2025-11-26T14:38:07.627Z","Included","auto","No","11858","0","46992","1687","60537","0.04"
"2025-11-25T14:46:24.535Z","Included","auto","No","29032","0","258560","4590","292182","0.13"
"2025-11-25T14:44:46.478Z","Included","auto","No","1708","0","27136","433","29277","0.01"
"2025-11-25T14:43:02.500Z","Included","auto","No","6953","0","39168","1668","47789","0.03"
"2025-11-25T14:41:16.748Z","Included","auto","No","4787","0","35408","1287","41482","0.02"
"2025-11-25T14:39:15.040Z","Included","auto","No","10386","0","103936","1837","116159","0.05"
"2025-11-25T14:36:20.288Z","Included","auto","No","2789","0","53684","967","57440","0.02"
"2025-11-25T14:34:25.971Z","Included","auto","No","43303","0","147968","2092","193363","0.10"
"2025-11-25T14:29:39.627Z","Included","auto","No","32770","0","340224","7764","380758","0.17"
"2025-11-25T14:07:19.901Z","Included","auto","No","61087","2226","550802","4216","618331","0.24"
"2025-11-25T14:02:52.018Z","Included","auto","No","31225","0","696901","10978","739104","0.28"
"2025-11-25T14:00:28.697Z","Included","auto","No","18237","0","80294","3402","101933","0.06"
"2025-11-25T13:49:11.532Z","Included","auto","No","28683","0","391936","2886","423505","0.15"
"2025-11-25T13:43:34.871Z","Included","auto","No","23764","0","262400","3851","290015","0.12"
"2025-11-24T15:30:44.219Z","Errored, No Charge","auto","No","0","0","0","0","0","0.00"
"2025-11-23T14:53:08.100Z","Included","auto","No","6583","0","249344","2698","258625","0.09"
"2025-11-23T14:49:37.275Z","Included","auto","No","14032","0","210432","3509","227973","0.09"
"2025-11-23T14:42:47.155Z","Included","auto","No","33122","0","374272","7439","414833","0.18"
"2025-11-23T14:23:50.698Z","Included","auto","No","17667","0","131584","2484","151735","0.07"
"2025-11-23T14:19:58.816Z","Included","auto","No","25760","2746","222720","5545","256771","0.12"
"2025-11-23T14:16:30.436Z","Included","auto","No","5716","134","85543","2277","93670","0.04"
"2025-11-23T14:16:07.023Z","Errored, No Charge","auto","No","0","0","0","0","0","0.00"
"2025-11-23T14:09:06.314Z","Included","auto","No","3287","0","36096","747","40130","0.02"
"2025-11-23T14:08:48.530Z","Included","auto","No","2357","0","5888","0","8245","0.004"
"2025-11-23T14:00:52.779Z","Included","auto","No","16088","0","338175","5386","359649","0.14"
"2025-11-23T13:48:19.708Z","Included","auto","No","39906","0","228803","3794","272503","0.13"
"2025-11-22T15:35:11.844Z","Included","auto","No","3413","0","138370","1860","143643","0.05"
"2025-11-22T15:32:01.093Z","Included","auto","No","1320","0","44188","507","46015","0.02"
"2025-11-22T15:27:07.333Z","Included","auto","No","14137","0","21920","964","37021","0.03"
"2025-11-22T14:56:37.976Z","Included","auto","No","14903","0","311808","6591","333302","0.14"
"2025-11-22T14:52:28.504Z","Included","auto","No","21245","0","152064","5053","178362","0.09"
"2025-11-21T15:05:49.224Z","Included","auto","No","0","0","0","0","0","0.00"
